file,x,y,z-score,stddev,value,clusterIdx,clusterSz
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3806,1559,19.94391475292865,4.8090059455450485,95.91040462427748,3,2
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4324,1559,-6.098072672740528,210.69198382057434,-1284.815028901734,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3807,1560,19.884198882843993,4.576498180095877,91,3,2
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4105,1590,-6.044091713838878,6.129331672738095,-37.04624277456651,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4276,1602,29.658775407102716,4.625735207720066,137.19364161849705,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,1785,1622,73.01278511877256,4.580637297442474,334.44508670520236,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4499,1629,-8.627007092126624,470.0677086898906,-4055.277456647398,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3578,1665,-6.026608738846562,202.92761168250982,-1222.9653179190755,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,1213,1704,29.817120770835338,4.54388437348615,135.485549132948,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,1146,1709,-7.570755848144504,5.15636391363788,-39.03757225433526,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,2050,1716,-346.49819207437804,0.1904771843249118,-66,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,466,1739,-6.045865587438027,10.770270359915378,-65.11560693641616,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,105,1837,-6.448962559957483,94.2948638000441,-608.1040462427745,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,1800,1883,-6.162760150370481,4.761022617546432,-29.341040462427713,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3413,1909,-6.24216132751536,80.05416016023815,-499.71098265895944,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,1159,1910,18.702636715796675,4.669676337232257,87.33526011560696,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,1746,1938,-7.542176652906501,5.266338221325562,-39.7196531791908,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4861,1973,-6.063968109826691,88.25131819600651,-535.1531791907514,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3269,2021,-6.059219017461177,4.936346505726737,-29.910404624277476,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,1012,2063,12.034574746641082,4.75148329946726,57.18208092485554,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3426,2103,17.207436941754114,4.329355387368657,74.49710982658962,4,2
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3427,2103,73.92014351204094,4.775228136231226,352.985549132948,4,2
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,1292,2115,-6.204757911563406,4.682217023688368,-29.052023121387265,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,1965,2138,-6.615260154004752,116.65705430172653,-771.7167630057802,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4143,2178,26.07098553642664,4.279999882359482,111.58381502890177,5,2
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4144,2178,9.625161839933167,4.7770385112242835,45.979768786127124,5,2
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4235,2196,36.254635185108654,4.550903040048733,164.99132947976875,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,1416,2206,-6.254034425995427,5.30247316406552,-33.161849710982665,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,869,2219,-6.883416973868174,5.334089616417225,-36.71676300578031,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,1476,2242,-7.225330442176158,110.45037577373247,-798.0404624277453,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4448,2297,-6.310788750141356,889.8807951473369,-5615.8497109826585,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,414,2376,-6.376739250104189,831.8392453057024,-5304.421965317919,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4945,2424,-9.001002679792848,292.4812236048835,-2632.624277456647,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,2793,2443,-6.363529759642995,4.977333587012442,-31.673410404624292,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,354,2530,-6.01231465095657,157.85616355000482,-949.0809248554906,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3067,2551,6.520257870269955,5.552282265368354,36.2023121387283,6,4
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3066,2552,51.30993117658074,5.225244514429526,268.106936416185,6,4
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3066,2553,24.62976615992546,4.504981763869893,110.95664739884398,6,4
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3065,2559,18.538844730827808,4.681780280706073,86.79479768786132,6,4
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4526,2560,-10.71051550021019,210.0741920525913,-2250.0028901734113,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3339,2598,-50.50068184713091,9.455260649192931,-477.4971098265887,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,3942,2659,-6.068646017084339,4.459099042098972,-27.060693641618514,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,2220,2681,-6.138030972435566,16.65537602073504,-102.23121387283231,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4577,2736,21.2071905841507,4.4504481871686465,94.38150289017346,7,2
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,4578,2736,26.938257236532436,4.784222363946531,128.87861271676297,7,2
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,915,2756,-15.838493037312512,78.230606306788,-1239.054913294798,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,2693,2807,-6.555015517873353,4.678498467956783,-30.66763005780342,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,825,2808,-6.253131228512461,6.5109576857633344,-40.71387283236993,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,1064,2817,-8.402334797639814,490.9559544969312,-4125.176300578034,-1,1
C:\Users\azhan\workspace\cosmic-ray-data\_DSC3420.pgm,899,2831,-7.600457510544809,261.1441516708723,-1984.815028901734,-1,1
